Value,Quarter,Year,year_quarter,deflating multiplier
131.7,1,2014,2014Q1,1.0
134.4,2,2014,2014Q2,0.9799107142857142
134.9,3,2014,2014Q3,0.9762787249814676
134.6,4,2014,2014Q4,0.9784546805349182
135.2,1,2015,2015Q1,0.974112426035503
135.3,2,2015,2015Q2,0.9733924611973391
135.5,3,2015,2015Q3,0.9719557195571955
136.7,4,2015,2015Q4,0.9634235552304315
134.9,1,2016,2016Q1,0.9762787249814676
138.8,2,2016,2016Q2,0.9488472622478384
141.0,3,2016,2016Q3,0.9340425531914893
141.8,4,2016,2016Q4,0.9287729196050775
144.1,1,2017,2017Q1,0.9139486467730742
144.9,2,2017,2017Q2,0.908902691511387
147.6,3,2017,2017Q3,0.8922764227642276
150.2,4,2017,2017Q4,0.8768308921438083
151.8,1,2018,2018Q1,0.867588932806324
155.8,2,2018,2018Q2,0.8453145057766366
160.8,3,2018,2018Q3,0.8190298507462686
164.4,4,2018,2018Q4,0.8010948905109488
166.3,1,2019,2019Q1,0.7919422730006012
173.0,2,2019,2019Q2,0.761271676300578
177.2,3,2019,2019Q3,0.7432279909706546
183.8,4,2019,2019Q4,0.7165397170837866
187.9,1,2020,2020Q1,0.700904736562001
192.5,2,2020,2020Q2,0.6841558441558441
194.2,3,2020,2020Q3,0.6781668383110195
196.8,4,2020,2020Q4,0.6692073170731706
200.2,1,2021,2021Q1,0.6578421578421578
207.2,2,2021,2021Q2,0.6356177606177607
212.5,3,2021,2021Q3,0.6197647058823529
220.0,4,2021,2021Q4,0.5986363636363636
227.1,1,2022,2022Q1,0.5799207397622193
237.0,2,2022,2022Q2,0.5556962025316455
237.7,3,2022,2022Q3,0.5540597391670172
238.8,4,2022,2022Q4,0.5515075376884422
238.9,1,2023,2023Q1,0.5512766848053579
243.8,2,2023,2023Q2,0.5401968826907301
256.6,3,2023,2023Q3,0.5132501948558066
265.5,4,2023,2023Q4,0.49604519774011296
280.9,1,2024,2024Q1,0.4688501245995016
290.4,2,2024,2024Q2,0.4535123966942149
298.3,3,2024,2024Q3,0.44150184378142804
