pricePerSqm,latitude,longitude,rooms,buildingMaterial,type,buildYear,hasElevator,hasBalcony,condition,hasParkingSpace,squareMeters,hasSecurity,floorCount,floor,hasStorageRoom
15000.0,52.234033333333336,21.1305,3.0,brick,blockOfFlats,2009.0,no,yes,not known,yes,85.0,yes,3.0,1.0,yes
17919.48051948052,52.20588,21.0391,2.0,concreteSlab,blockOfFlats,1973.0,yes,yes,not known,no,38.5,no,10.0,1.0,yes
22916.666666666668,52.1982,21.0238,4.0,brick,blockOfFlats,2022.0,yes,yes,not known,yes,96.0,no,4.0,4.0,yes
25201.008040321612,52.2048991,21.0079866,4.0,brick,tenement,1937.0,yes,yes,low,no,83.33,no,4.0,2.0,yes
19950.0,52.2463,21.0695,2.0,brick,blockOfFlats,2018.0,yes,no,not known,no,44.94,yes,8.0,4.0,no
21960.78431372549,52.2388487,21.0801895,1.0,concreteSlab,blockOfFlats,1971.0,yes,no,not known,no,25.5,no,10.0,6.0,yes
20659.340659340658,52.17120965,20.99440564,2.0,brick,apartmentBuilding,2022.0,yes,yes,not known,yes,45.5,no,1.0,1.0,no
15200.0,52.269972,20.96648685,2.0,concreteSlab,blockOfFlats,1973.0,yes,no,low,no,37.5,no,10.0,7.0,no
18333.333333333332,52.20078,21.03072,1.0,brick,tenement,1952.0,no,no,not known,no,27.0,no,4.0,3.0,no
21500.0,52.2296756,21.0122287,3.0,concreteSlab,blockOfFlats,1972.0,yes,no,not known,no,48.0,no,15.0,4.0,no
17270.624518118737,52.17791,20.99475,4.0,brick,apartmentBuilding,2015.0,yes,yes,not known,no,64.85,no,8.0,2.0,no
11463.414634146342,52.1862305,20.8959044,4.0,brick,blockOfFlats,2004.0,yes,yes,not known,yes,123.0,no,7.0,7.0,no
14231.499051233395,52.20944,21.03704,2.0,brick,tenement,1957.0,no,no,not known,no,52.7,no,4.0,3.0,yes
12916.666666666666,52.19241795,20.90344005,2.0,brick,blockOfFlats,2004.0,yes,no,not known,yes,60.0,no,7.0,7.0,no
17543.859649122805,52.21085165,20.96847554,2.0,brick,tenement,1928.0,yes,no,not known,no,34.2,no,4.0,1.0,no
13552.631578947368,52.2463,21.0695,2.0,concreteSlab,blockOfFlats,1964.0,no,yes,low,no,38.0,no,4.0,3.0,yes
24717.31448763251,52.2446005190752,21.0068192806308,3.0,concreteSlab,blockOfFlats,1965.0,no,yes,low,no,56.6,no,11.0,11.0,yes
18265.30612244898,52.2627,20.98599,2.0,brick,tenement,1938.0,no,no,not known,no,49.0,no,4.0,3.0,no
13270.777479892762,52.34119999999999,20.9408,3.0,brick,blockOfFlats,2009.0,yes,no,not known,no,74.6,no,3.0,1.0,no
22770.0,52.13568,21.06733,4.0,brick,apartmentBuilding,2009.0,yes,yes,not known,yes,100.0,no,5.0,5.0,no
14179.10447761194,52.1561298,21.1116284,3.0,brick,apartmentBuilding,2017.0,yes,no,not known,yes,67.0,no,6.0,2.0,no
25137.61467889908,52.254685,20.9919658,2.0,brick,apartmentBuilding,2008.0,yes,yes,not known,yes,54.5,yes,5.0,4.0,no
15909.09090909091,52.31147000000001,20.97453,2.0,brick,blockOfFlats,2021.0,yes,yes,not known,no,44.0,no,4.0,2.0,no
20000.0,52.1607215,21.0819148,2.0,brick,apartmentBuilding,2013.0,yes,yes,not known,yes,49.3,no,3.0,2.0,no
12605.263157894737,52.18952,20.89376,2.0,concreteSlab,blockOfFlats,1967.0,no,yes,not known,no,38.0,no,4.0,4.0,yes
11512.287334593573,52.1847655,20.8683931,2.0,brick,blockOfFlats,2001.0,yes,yes,not known,yes,52.9,no,7.0,5.0,no
12846.839671120246,52.3187,21.0505,2.0,brick,blockOfFlats,2023.0,yes,no,not known,yes,38.92,yes,2.0,1.0,no
12539.899680802553,52.24100113,20.97820091,3.0,concreteSlab,blockOfFlats,1969.0,yes,no,not known,yes,87.72,yes,12.0,12.0,no
16800.0,52.209,20.9633,6.0,brick,blockOfFlats,1995.0,no,yes,not known,yes,125.0,no,3.0,3.0,yes
16939.39393939394,52.2388689,20.9703551,2.0,brick,blockOfFlats,1950.0,no,no,not known,no,33.0,no,3.0,3.0,no
15886.40909090909,52.33364,20.97332,2.0,brick,apartmentBuilding,2012.0,yes,yes,not known,yes,44.0,yes,3.0,1.0,no
19322.58064516129,52.17542,21.04965,2.0,concreteSlab,blockOfFlats,1978.0,yes,no,not known,no,31.0,no,10.0,6.0,yes
10267.605633802817,52.15142,21.03053,4.0,brick,blockOfFlats,1981.0,no,yes,not known,no,71.0,no,4.0,1.0,yes
15000.0,52.29690345,20.93873555,2.0,concreteSlab,blockOfFlats,1967.0,yes,no,low,no,37.0,no,10.0,7.0,yes
13478.260869565218,52.206727,20.9720929,2.0,concreteSlab,blockOfFlats,1968.0,yes,yes,not known,no,46.0,no,8.0,2.0,yes
11094.647156880903,52.2630714,21.145839,3.0,brick,blockOfFlats,2007.0,yes,no,not known,no,53.99,no,4.0,4.0,yes
18863.636363636364,52.29659,20.93761,2.0,brick,blockOfFlats,2016.0,yes,yes,not known,no,44.0,no,6.0,1.0,no
21769.23076923077,52.25172,20.99816,2.0,brick,blockOfFlats,1956.0,yes,yes,not known,no,39.0,no,9.0,4.0,no
17634.680134680133,52.30923635,20.9915259,2.0,brick,blockOfFlats,2020.0,yes,yes,premium,yes,47.52,no,5.0,4.0,no
22732.09549071618,52.2506,21.0338,2.0,brick,apartmentBuilding,2010.0,yes,no,not known,no,37.7,no,5.0,5.0,no
17885.304659498208,52.2444366,21.0010234,3.0,brick,tenement,1950.0,no,yes,premium,no,55.8,no,4.0,3.0,yes
24416.135881104034,52.23023,21.01484,3.0,brick,tenement,1957.0,yes,yes,not known,no,47.1,no,7.0,6.0,no
15000.0,52.24548,20.95143,2.0,brick,blockOfFlats,1954.0,no,no,not known,no,41.0,no,3.0,3.0,yes
21126.76056338028,52.2693286,20.9818745,3.0,brick,tenement,1929.0,no,no,not known,no,71.0,no,4.0,4.0,no
17750.0,52.2935,20.9458,2.0,concreteSlab,blockOfFlats,1969.0,no,no,not known,no,36.0,no,4.0,3.0,yes
21467.025572005383,52.2305,20.97445,3.0,brick,apartmentBuilding,2010.0,yes,yes,not known,no,74.3,yes,11.0,4.0,no
12396.677685950413,52.3311,21.0467,3.0,brick,blockOfFlats,2022.0,yes,yes,not known,yes,60.5,yes,2.0,1.0,no
16714.476955440812,52.1363,21.0497,2.0,brick,blockOfFlats,2004.0,yes,yes,low,no,52.29,yes,4.0,1.0,no
16924.93946731235,52.26566,20.95996,2.0,concreteSlab,blockOfFlats,1965.0,no,yes,not known,no,41.3,no,4.0,4.0,yes
21579.72440944882,52.1556849,21.0750644,2.0,brick,apartmentBuilding,2016.0,no,yes,not known,yes,40.64,no,4.0,1.0,no
17424.826522744796,52.17714,20.99276,4.0,brick,apartmentBuilding,2015.0,yes,yes,not known,no,64.85,yes,7.0,2.0,no
18113.20754716981,52.14032,21.05108,2.0,brick,blockOfFlats,1983.0,no,yes,not known,yes,53.0,no,4.0,1.0,yes
16996.55765920826,52.2061165,20.969095,3.0,concreteSlab,blockOfFlats,1966.0,no,no,not known,no,46.48,no,4.0,4.0,no
19653.65585486531,52.2241551,20.9460177,2.0,brick,apartmentBuilding,2016.0,yes,yes,premium,yes,36.38,no,6.0,1.0,no
11486.486486486487,52.2531775,21.0361317,5.0,brick,blockOfFlats,1990.0,yes,no,not known,no,74.0,no,6.0,2.0,no
18828.571428571428,52.2103359,20.9712206,1.0,brick,blockOfFlats,1970.0,no,no,not known,no,35.0,no,3.0,1.0,no
14300.0,52.2485062,21.0460446,2.0,brick,tenement,1914.0,no,no,low,no,51.73,no,5.0,4.0,yes
16103.996895615057,52.276179,20.930817,2.0,brick,apartmentBuilding,2012.0,yes,yes,not known,yes,51.54,no,8.0,5.0,yes
22784.810126582277,52.1378544,21.0291229,3.0,brick,apartmentBuilding,2020.0,yes,no,not known,yes,79.0,yes,4.0,4.0,no
16962.264150943396,52.24195,20.89847,2.0,brick,blockOfFlats,2019.0,yes,yes,not known,no,53.0,yes,6.0,3.0,no
21088.88888888889,52.2463,21.0695,2.0,brick,apartmentBuilding,2022.0,yes,no,not known,yes,45.0,no,7.0,6.0,no
14811.680067710537,52.2034115,20.9263291,4.0,brick,apartmentBuilding,2022.0,no,no,not known,yes,118.15,no,3.0,2.0,no
12392.0,52.3188619,20.9790352,2.0,brick,apartmentBuilding,2016.0,yes,no,not known,no,60.0,no,4.0,1.0,no
9440.944881889764,52.1428,21.0067,4.0,brick,apartmentBuilding,2015.0,no,yes,not known,no,127.0,yes,2.0,1.0,no
16078.43137254902,52.23931,21.15298,3.0,brick,blockOfFlats,2016.0,no,yes,not known,yes,51.0,no,6.0,3.0,no
20872.727272727272,52.245276,21.00274,2.0,concreteSlab,blockOfFlats,1970.0,yes,yes,not known,no,33.0,no,10.0,7.0,yes
