Year,Quarter,GDP,Population,Interest Rate,income,Construction Investments,Real Estate Market Services,Inflation,Warszawa rynek pierwotny,secondary market prices,Date
2010,Q1,330053.2,32869.0,7.0,4526.81,912.4,678.8,103.0,9118.689939518896,9901.01497944703,2010-02-01
2010,Q2,349427.2,32909.5,6.8,4410.17,912.4,678.8,102.3,8550.997477321702,9982.0145175797,2010-05-01
2010,Q3,356417.9,32950.0,6.4,4262.55,1806.6,1106.1,102.2,8294.768956697,9787.59292002933,2010-08-01
2010,Q4,405751.3,32990.5,6.2,4484.24,2773.5,1650.3,102.9,8133.25935402,9766.83790313,2010-11-01
2011,Q1,357647.3,33031.0,6.2,4727.98,520.9,205.6,103.8,8211.0,9706.0,2011-02-01
2011,Q2,377007.5,33065.0,6.5,4544.77,1338.1,601.2,104.6,8396.152132707304,9471.754326169505,2011-05-01
2011,Q3,386044.4,33099.0,6.8,4523.87,2109.1,1020.9,104.1,8025.110844464996,9396.573437376486,2011-08-01
2011,Q4,443236.2,33133.0,6.9,4708.9,3079.4,1509.8,104.6,7826.248643957203,9363.302479754386,2011-11-01
2012,Q1,377386.8,33167.0,7.0,4802.96,412.3,213.2,104.1,7879.1834327233655,9110.86157112009,2012-02-01
2012,Q2,397144.9,33210.0,7.0,4722.11,1092.7,491.0,104.0,8122.658551092201,9035.278112738511,2012-05-01
2012,Q3,400617.8,33253.0,7.1,4571.83,1761.5,856.5,103.9,7874.934938209658,8899.903618962342,2012-08-01
2012,Q4,447092.5,33296.0,6.8,4768.43,2524.6,1380.9,102.9,7695.07980873856,8767.548407393999,2012-11-01
2013,Q1,376844.6,33339.0,6.2,4879.54,426.3,275.3,101.3,8076.07662654198,8606.018176741882,2013-02-01
2013,Q2,397942.7,33392.25,5.5,4735.92,931.1,625.1,100.5,8080.505448298822,8637.967322006196,2013-05-01
2013,Q3,402455.9,33445.5,5.1,4691.86,1450.5,1012.7,101.1,8145.839737846778,8544.233966365282,2013-08-01
2013,Q4,460524.3,33498.75,5.1,4939.61,2092.1,1604.5,100.7,8088.2671955671885,8626.6287820258,2013-11-01
2014,Q1,397098.5,33552.0,5.2,5098.44,404.2,265.8,100.6,8005.404656752187,8622.175842511453,2014-02-01
2014,Q2,415789.6,33595.0,5.3,4924.09,1076.1,593.3,100.3,7924.025627651702,8690.682868241413,2014-05-01
2014,Q3,423401.0,33638.0,5.3,4852.96,1540.0,1006.2,99.7,7819.356024545944,8625.77618029289,2014-08-01
2014,Q4,473895.9,33681.0,4.7,5047.5,2440.6,1590.8,99.3,7691.358070935864,8635.845659599665,2014-11-01
2015,Q1,415171.4,33724.0,4.6,5267.32,480.8,308.9,98.5,7839.312622637652,8607.919481178302,2015-02-01
2015,Q2,436359.4,33770.5,4.3,5036.68,1263.2,622.3,99.1,7872.092153953637,8552.515045104554,2015-05-01
2015,Q3,443918.4,33817.0,4.4,5002.71,2348.9,1073.3,99.3,7807.0280888208645,8565.026499686224,2015-08-01
2015,Q4,514115.0,33863.5,4.4,5231.3,3450.0,1631.0,99.4,7788.873947038797,8655.338126026956,2015-11-01
2016,Q1,431632.9,33910.0,4.4,5435.95,493.9,207.9,99.1,7877.688999722974,8657.874,2016-02-01
2016,Q2,451754.4,33961.5,4.5,5215.26,1132.6,504.5,99.1,7648.558,8720.91184227978,2016-05-01
2016,Q3,456763.6,34013.0,4.5,5147.24,1897.0,858.2,99.2,7771.718118045363,8777.94134326238,2016-08-01
2016,Q4,525809.3,34064.5,4.4,5403.01,2723.7,1339.3,100.2,7638.064611380712,8708.571517103286,2016-11-01
2017,Q1,462531.2,34116.0,4.4,5600.99,473.2,203.6,102.0,7706.5293218125225,8815.734,2017-02-01
2017,Q2,481990.3,34180.5,4.4,5459.95,1186.8,558.3,101.8,7739.707327057996,8884.968,2017-05-01
2017,Q3,492949.6,34245.0,4.4,5412.94,1914.5,897.3,101.9,7788.43238116164,9008.711,2017-08-01
2017,Q4,559364.9,34309.5,4.4,5800.4,2835.4,1428.2,102.2,8019.7561015507645,9235.344,2017-11-01
2018,Q1,494713.5,34374.0,4.4,5973.72,549.5,265.8,101.5,8201.149282184693,9346.346762872223,2018-02-01
2018,Q2,515827.6,34435.25,4.3,5817.31,1379.5,645.3,101.7,8610.518284355505,9346.99535051135,2018-05-01
2018,Q3,532893.5,34496.5,4.3,5788.92,2383.9,1110.3,102.0,8887.606896110692,9611.981281078442,2018-08-01
2018,Q4,604152.0,34557.75,4.4,6131.29,3417.5,1667.1,101.4,9019.622870956551,10277.193567202436,2018-11-01
2019,Q1,532999.0,34619.0,4.4,6336.7,608.0,321.0,101.2,9426.992836606769,10287.431170226711,2019-02-01
2019,Q2,560326.2,34962.75,4.3,6191.57,1269.0,823.8,102.4,9590.522282274089,10575.00646863331,2019-05-01
2019,Q3,574915.3,35306.5,4.3,6158.84,2110.4,1346.6,102.8,9934.552237174323,10815.52646768299,2019-08-01
2019,Q4,645688.3,35650.25,4.4,6392.72,3890.8,2082.8,102.8,10280.101563193337,11191.651752457912,2019-11-01
2020,Q1,565282.0,35994.0,4.3,6780.1,650.3,402.5,104.5,10610.407612206469,11655.766814645836,2020-02-01
2020,Q2,535513.5,36000.25,3.6,6375.59,1495.7,972.3,103.2,10717.441583668564,11520.582685134954,2020-05-01
